ID,Name,Currency,Total
1964F879-6977-26C1-C574-4C5E4DFEE1CF,Carson Bauer,1110.23,97875
9A5538E4-2334-B11E-48C8-9556217027D7,Vincent Collier,1183.39,26374
16D4A933-4331-BF96-A892-009724280603,Aristotle Durham,1421.8,87256
836A3B51-80D6-C5D7-BD54-C401E05EC48A,Janna Oliver,1446.66,87933
2F734C7B-A681-CB63-7B46-96615D9EC7BE,Neil Christensen,1509.5,34359
DAAE8779-7ED5-A3AD-55C1-3FD61257754D,Cedric Barker,1542.14,56482
3F7EDCEC-5D4C-923A-9CD9-825261522B6D,Aline Raymond,1621.07,7861
3362C7AE-12B6-F8A2-0B67-62185D2B6418,Freya Nunez,1747.45,44658
4CCA9CAD-EB41-6BDE-A5C7-3258ADD15C26,Regan Ballard,1768.98,39496
55F74671-9F69-425E-E1C4-9882648AD95C,Quyn Abbott,1802.97,29713
F735B6C1-774D-0777-38C5-E78C9414137E,Demetrius Hammond,1851.19,33773
AAC5453B-E1B1-35CE-269C-D6D3CAE52861,Halla Holmes,2141.06,4590
E17D912E-D586-71D8-E29E-9BE6099CA3C0,Brendan Colon,2191.26,76326
02E47AA5-F808-4CE4-9EC7-6BD1DB718E1A,Dolan Rogers,2237.43,16119
B5191EA7-7CD7-0157-8462-D82A0A1D6D86,Kato Jacobson,2303.12,70921
5808DBDD-B60D-8D6D-284B-6B6C30B723B3,Moana Tran,2579.04,63948
87E74FEF-9EAE-53EE-8061-F126AE727426,Shea Rivera,2606.55,37206
3EEC3493-E47D-9CBE-E01F-0EE3627F9E2C,Imelda Kemp,2668.11,47935
DC995132-72B0-B811-B2B7-7402AE98A30E,Zachary Sloan,2690.09,76981
C69A6D3A-48BF-B172-36C1-C6CE5BD387CC,Whoopi Poole,2708.7,70694
8512D9E1-7C35-DC4A-0A16-16350E28E15A,Zachery Schwartz,2955.73,20246
4EAAAC12-3929-28B9-89DF-498D97A2C222,Igor Campbell,3211.45,26488
A98E92DB-5462-41F3-B5BE-B99A5FE16534,Honorato Elliott,3215.17,82269
B8FCB0E1-79D7-8D57-64B4-389B5B7973CE,Whilemina Bradley,3242.49,53365
8E51EAD1-E2D4-93EC-BB99-B0AD627A9BAC,Garrett Moses,3319.2,60053
B896E3BA-02B7-82A5-99E1-005E16A88DEA,Anjolie Garner,3433.85,37580
A98DEF6A-DBB4-8CD8-063F-6D5AD2EE11D1,Abdul Saunders,3515.55,82810
5D3CC152-589D-C838-994E-378F52967E19,Jolie Patrick,3516.54,49075
3E7A6E11-B03C-15D6-267E-161738ED9259,Stone Kennedy,3573.2,88711
89BACC0F-5AD7-6538-9C8D-BC89CA183ECC,Brittany Stanley,3628.48,4627
6AD8232B-C453-C791-A9E6-DB30B47D9162,Denise Jensen,3698.23,6263
366CE5C0-EEE4-B2F4-2728-DF0CC11067D9,Rebecca Norton,3759.93,4492
3D58E454-46AE-7A9B-732E-330A6DDD84B5,Jermaine Gutierrez,3849.06,97975
CB574DEB-ECAC-9BA6-434E-7467517C2249,Mechelle Cunningham,3867.35,63805
C02690A1-529A-54E3-7560-5B0FE682E2E3,Macon Barr,3912.97,79189
977B10BF-2E45-5832-A034-1A909AB602E2,Andrew Ball,3961.22,94277
7E0613A6-9A9A-F3D8-6E5A-A6D4D5AE1904,Macaulay Hood,3998.58,68963
CB342ECB-B6B5-877A-A72B-7F694F7C9662,Nita Pace,4023.32,32589
16F908C7-665E-0AB6-AD75-35B64CE35742,Lee Peterson,4042.72,9080
3DB35233-A7EA-B45F-7534-C2B8B3A21FC3,Dahlia Sullivan,4052.74,9730
6157763E-31F0-8039-396F-3825E4E8AA76,Ulysses Pope,4108.34,6034
1F733744-07E8-590A-110B-A11AC0DDEADE,Rajah Roach,4172.87,96450
DC526093-5236-FCDD-4EA4-26DC435BACA1,Hayfa Faulkner,4244.45,64957
C913C37A-7F12-458D-1835-7A3CBF9D2CB0,Samantha Key,4276.03,21370
C01A53A1-EE1E-CEF0-A187-97E48F3E0376,Heather Mccormick,4307.31,25854
42994577-49AC-7A76-C346-E101D3AE513F,Kirsten Floyd,4346.82,12508
539A8077-5431-3622-3AFB-5A4758CD05A0,Hasad Whitehead,4420.1,5963
7CDD56AA-6656-8D84-C726-99522521CCA1,Beatrice Bass,4597.27,6359
37CA9DBC-9D1A-073F-CEFC-369D7F03228F,Quail Wright,4746.04,74674
8FA599A6-D135-B679-5DE6-1E8D3BD131B1,Daphne Conrad,4757.84,82891
3EEEA99A-9C05-8531-E18D-3CFABE8ADCFF,Constance Chang,4771.53,32144
D20C193E-73D7-6029-9840-CC39DE5AE0AA,Cailin Greer,4963.37,67443
7DC98573-1E25-4BE4-8AC8-2CE16F8F1F91,Conan Jacobs,5009.11,30663
1C236E89-5A6D-8CD9-52B7-BA222A22CEDE,Jasmine Mckee,5038.2,2771
FB91C17C-BDD1-A235-E6FC-AD879733E7FD,Quyn Jacobs,5084.1,89021
DDD24A14-8659-BECD-FC54-DC0E1BDA5DB6,Oliver Huff,5175.29,30771
D8535D4F-5851-9B65-A174-D3FC2AAFC874,Jesse Dodson,5405.64,4677
4742CF3A-D895-6B71-9B31-396ED7BB26A5,Sara Burns,5432.35,45150
C6BC5E81-D984-8D0A-9A55-E33A02F2D6F1,Declan Boyle,5511.43,56052
CA8C616C-4E0E-ABFF-1888-5212B953D78D,Juliet Chase,5556.35,91980
051421BD-D769-77CF-261C-B36A4439931E,Macon Hooper,5561.82,10146
2A6949FB-FEE6-5015-B965-49769AA9EF8B,Fitzgerald Schultz,5694.31,86887
A718893E-3D65-7188-D91A-8B9C0161AB84,Briar Mcintosh,5760.52,6728
6B8A8DA6-191E-896D-0C01-8CFA35CED1F4,Dai Solomon,5834.12,59559
C4AFB34C-4A43-B71E-DE7D-C2D531FEEA15,Veda Rodriguez,5839.03,91567
DD4758C5-A3CF-9A26-4775-444D62886347,Lilah Morrison,5889.6,45408
04E56DE9-F050-3B74-01EC-7E5F20975E49,Channing Davidson,5913.07,51674
0A2404D5-3393-4F34-031E-59C5A45F4711,Sade Harvey,5959,32077
514154DD-5378-9169-64E2-C09CC291EB57,Ginger Harmon,6035.06,20351
02C84E6B-8C47-D274-B35A-1D476C32A184,Quail Perkins,6088.07,65307
C367812E-298A-93D9-E796-DA16DB2D7AC3,Ursa Perkins,6140.64,20337
26838FC6-D5CA-F712-B8FB-B6AD23BE78E4,Odysseus Mayer,6336.8,16039
E1B27C88-643D-4401-7FEB-4CB9BB235702,Gloria Fulton,6458.06,29479
06731161-3241-9928-12EB-702DD3AED526,Carol Ramos,6626.52,14418
438375E4-5BD7-67E4-6D69-9F493C35EBD1,Chava Ferrell,7020.36,54814
87DD354C-288C-95D5-EB66-4D2A87642B1A,Kenneth Bowen,7043,30416
1C7C4DBA-487A-EC6D-EE17-96DB463D8A68,Justin Richard,7330.39,83265
C13A5C0E-AE49-8956-0628-453CDF9914CA,Hillary Nicholson,7373.28,48629
56229249-9598-D756-1457-887DD202F578,Kareem Mcpherson,7417.22,62708
325677D6-66B7-236E-B351-4B9F1D434EE0,Leroy Stone,7770.03,22933
301BA40D-CB7C-E9D6-AE76-66EEA79FD32D,Zeph Roy,7809.51,91598
0414683C-5989-8C5A-7413-A149175921EE,Allistair Reilly,7870.61,52486
D07B9703-6261-E9D2-1603-D3E1A3D5C659,Prescott Patton,8067.99,90450
E219873C-3F71-9089-C12B-FBC69A584474,Timothy Mercado,8110.99,89075
941A8FCC-8826-A5B1-BAB1-D4619C884C2E,Desirae Glover,8190.33,22024
ACD21172-863D-5A46-E4B5-DB94D94A662D,Winter Frye,8270.6,16056
C38E2BB6-5421-441B-716F-C195C25781F1,Nell Shelton,8294.47,93386
055A7C68-C79E-DF56-C87F-14774A568BD5,Rama Blake,8343.61,85939
844AA7D1-1DB1-4C7C-9ACB-59CE27288E0A,Amena Snow,8492.69,14433
284FF526-338C-2CE1-A98B-773A2D77003C,Guy Peters,8554.22,92532
3F705C8D-1C3A-866F-A654-99D5DFB18FAB,Luke Mcmillan,8559.27,39204
85F1E5D4-27B3-62BB-0C7B-5C9E3E3BB1F6,Lewis Copeland,8567.35,91790
5A5E1F2B-56B6-1AD5-B348-A5A699B13449,Isaac Fitzgerald,8572.4,40556
ACA987C7-E387-643E-1AEE-B26BA5099F1A,Katelyn Savage,8908.35,68739
1E44D859-69A8-E8B2-3573-D65DAE2BD885,Curran Huff,8911.64,85778
66784042-53CC-271E-01C8-DAAC9537BB43,Ashely Hutchinson,9180.53,46596
6784B166-9D7F-798E-134F-EE2FD3CF648A,Fiona Wolf,9321.94,9878
BBE9C328-7382-7137-B430-C617EF1693A8,Cole Beck,9353.69,92075
83AB8490-716A-3BE7-562D-348D758E91A2,Miriam Castro,9587.38,46583
BD445867-8FAE-AD63-8D7C-C4FA64A9D5F9,Emery Conley,9769.51,89158
83C53424-66E5-6756-A32E-111B78A6EC71,Cole Stewart,9844.98,40645
C0C388A9-EC38-2538-845E-6109AC765E7F,Georgia Beasley,9923.13,87395
